id,model_id,model_name,sample_id,status,latency_ms,error_code,field_accuracy,category_correct,expected,output
req_bd75190a08c44685,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0054,success,657.976,,1.0,True,"{""equipment_id"": ""EQ-203-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-04-17"", ""fault_code"": ""E203"", ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 36}","{""equipment_id"": ""EQ-203-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-04-17"", ""fault_code"": ""E203"", ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 36}"
req_8fb3d8a321a54574,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0014,success,635.043,,1.0,False,"{""equipment_id"": ""EQ-103-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": null, ""fault_code"": ""E103"", ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 33}","{""equipment_id"": ""EQ-103-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": null, ""fault_code"": ""E103"", ""category"": ""electrical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 33}"
req_bef375fd364f4c22,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0133,success,670.081,,0.875,True,"{""equipment_id"": ""EQ-403-1"", ""equipment"": ""包装机"", ""production_line"": null, ""reported_at"": ""2025-09-22"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": 0}","{""equipment_id"": ""EQ-403-1"", ""equipment"": ""包装机"", ""production_line"": null, ""reported_at"": ""2025-09-22"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": null}"
req_757967f21e74411b,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0093,success,661.241,,1.0,True,"{""equipment_id"": ""EQ-303-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": ""2025-07-04"", ""fault_code"": ""E303"", ""category"": ""software"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 28}","{""equipment_id"": ""EQ-303-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": ""2025-07-04"", ""fault_code"": ""E303"", ""category"": ""software"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 28}"
req_d0712fe108294a33,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0053,success,608.643,,1.0,True,"{""equipment_id"": ""EQ-203-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": null, ""fault_code"": ""E203"", ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 25}","{""equipment_id"": ""EQ-203-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": null, ""fault_code"": ""E203"", ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 25}"
req_96a52e9c2b904272,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0013,success,716.143,,0.875,True,"{""equipment_id"": ""EQ-103-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": ""2025-01-25"", ""fault_code"": ""E103"", ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 0}","{""equipment_id"": ""EQ-103-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": ""2025-01-25"", ""fault_code"": ""E103"", ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": null}"
req_0c6d09852c6242e8,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0136,success,630.943,,0.875,True,"{""equipment_id"": ""EQ-403-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-09-28"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": null, ""downtime_minutes"": 0}","{""equipment_id"": ""EQ-403-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-09-28"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": null, ""downtime_minutes"": null}"
req_ab0cbb96d2544a65,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0096,success,654.05,,1.0,False,"{""equipment_id"": ""EQ-303-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-07-10"", ""fault_code"": null, ""category"": ""software"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 61}","{""equipment_id"": ""EQ-303-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-07-10"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 61}"
req_8205ac1ef8224cea,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0056,success,615.417,,1.0,False,"{""equipment_id"": ""EQ-203-4"", ""equipment"": ""包装机"", ""production_line"": null, ""reported_at"": ""2025-04-21"", ""fault_code"": null, ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 58}","{""equipment_id"": ""EQ-203-4"", ""equipment"": ""包装机"", ""production_line"": null, ""reported_at"": ""2025-04-21"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 58}"
req_d4fdb9ffedb34a31,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0016,success,655.809,,1.0,False,"{""equipment_id"": ""EQ-103-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-01-31"", ""fault_code"": null, ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 55}","{""equipment_id"": ""EQ-103-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-01-31"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 55}"
req_91a487f919a7495a,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0135,success,700.0,,0.75,True,"{""equipment_id"": ""EQ-403-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025-09-26"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": 0}","{""equipment_id"": ""EQ-403-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025年9月26日"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": null}"
req_e9bdaadf9fb4443b,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0095,success,696.457,,0.875,False,"{""equipment_id"": ""EQ-303-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025-07-08"", ""fault_code"": ""E303"", ""category"": ""software"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 50}","{""equipment_id"": ""EQ-303-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025年7月8日"", ""fault_code"": ""E303"", ""category"": ""mechanical"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 50}"
req_b700e474c3d74201,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0055,success,660.034,,0.625,False,"{""equipment_id"": ""EQ-203-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025-04-19"", ""fault_code"": ""E203"", ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": null, ""downtime_minutes"": 0}","{""equipment_id"": ""EQ-203-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025年4月19日"", ""fault_code"": ""E203"", ""category"": ""other"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""未记录"", ""downtime_minutes"": null}"
req_7a921615cd8c4433,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0015,success,654.134,,0.75,True,"{""equipment_id"": null, ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025-01-29"", ""fault_code"": ""E103"", ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 44}","{""equipment_id"": ""未记录"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025年1月29日"", ""fault_code"": ""E103"", ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 44}"
req_4998dcbc88ff4010,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0134,success,592.362,,0.625,True,"{""equipment_id"": null, ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-09-24"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": 0}","{""equipment_id"": ""无"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-09-24"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""破损包装"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": null}"
req_0b3f42c4c71a4a01,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0094,success,731.744,,1.0,False,"{""equipment_id"": ""EQ-303-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-07-06"", ""fault_code"": ""E303"", ""category"": ""software"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 39}","{""equipment_id"": ""EQ-303-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-07-06"", ""fault_code"": ""E303"", ""category"": ""mechanical"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 39}"
req_6cbb859bbdf74c4b,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0054,success,693.701,,1.0,True,"{""equipment_id"": ""EQ-203-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-04-17"", ""fault_code"": ""E203"", ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 36}","{""equipment_id"": ""EQ-203-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-04-17"", ""fault_code"": ""E203"", ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 36}"
req_f3b39303c24d443c,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0014,success,669.18,,1.0,False,"{""equipment_id"": ""EQ-103-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": null, ""fault_code"": ""E103"", ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 33}","{""equipment_id"": ""EQ-103-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": null, ""fault_code"": ""E103"", ""category"": ""electrical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 33}"
req_2f7820118db74167,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0133,success,651.853,,0.875,True,"{""equipment_id"": ""EQ-403-1"", ""equipment"": ""包装机"", ""production_line"": null, ""reported_at"": ""2025-09-22"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": 0}","{""equipment_id"": ""EQ-403-1"", ""equipment"": ""包装机"", ""production_line"": null, ""reported_at"": ""2025-09-22"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": null}"
req_6fe0fca873ce4fab,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0093,success,723.595,,1.0,True,"{""equipment_id"": ""EQ-303-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": ""2025-07-04"", ""fault_code"": ""E303"", ""category"": ""software"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 28}","{""equipment_id"": ""EQ-303-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": ""2025-07-04"", ""fault_code"": ""E303"", ""category"": ""software"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 28}"
req_b67f69fa79fe46e3,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0053,success,626.2,,1.0,True,"{""equipment_id"": ""EQ-203-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": null, ""fault_code"": ""E203"", ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 25}","{""equipment_id"": ""EQ-203-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": null, ""fault_code"": ""E203"", ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 25}"
req_8a40ed6554c7406f,mdl_1806b404746b44a1,Qwen 2.5 · 本地真实模型,SYN-0013,success,723.096,,0.875,True,"{""equipment_id"": ""EQ-103-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": ""2025-01-25"", ""fault_code"": ""E103"", ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 0}","{""equipment_id"": ""EQ-103-1"", ""equipment"": ""包装机"", ""production_line"": ""5号产线"", ""reported_at"": ""2025-01-25"", ""fault_code"": ""E103"", ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": null}"
